pid,planid,liability,assets,inflation_assumption,discount,wage_inf,payroll,actives_tot,inactive,retired,ActiveSalary_avg,BeneficiaryBenefit_avg,reqcont employer,pctmale,avgageret,pctmrg,df,reduct,pen,ret_liability,inact_liability,PVFB,ncrate_tot
106,cin_gen18,2346906,1772494,0.03,,0.03,191806,3029,,4233,61.036,38.376,0.2851,,,,,,,,,,0.1332
107,cin_gen20,2466349,1756533,0.025,0.075,0.03,215460,2903,225,3660,68.413,39.582,0.3067,,,,,,,,,,0.1246
108,cin_gen19,2417515,1755861,0.0275,0.07,0.03,206122,2951,212,4207,66.132,38.679,0.302,,,,,,,,,,0.1266
109,atl_gen18,1865937.528,1269985.38,0.0225,0.0725,0.03,188916.062,3830,,3912,47.889,30.3,0.2552,0.531,,,,,,,,,0.1232
110,atl_gen20,1965225,1336954,0.0225,0.07,0.03,206005.1,3936,27,3986,50814,32.1,0.2512,0.531,,,,,,,,,0.1201
111,atl_gen19,1893073,1314030,0.0225,0.07,0.03,188718.8,3674,19,3981,49.87,31.176,0.2584,0.531,,,,,,,,,0.1236
112,oma_edu18,2136385,1365013,0.0275,0.075,0.03,359359.507,7569,,4678,46.233,25.844,0.2705,,,,,,,,,,0.2278
113,oma_edu20,2265653,1417961,0.0275,0.075,0.03,364799.3,7366,14,4980,47.571,26.546,0.2725,,,,,,,,,,0.2266
114,oma_edu19,2192893,1378824,0.0275,0.075,0.03,375598.3,7177,140,4826,47.3,26.109,0.2697,,,,,,,,,,0.2274
115,btr_gen18,1781193.916,1190267.261,0.0275,0.0704,0.03,144939.664,2961,,3733,48.95,26.696,0.347,,,,,,,,,,0.24119
116,btr_gen20,1885381,1236056,0.0225,0.07,0.03,151243,2889,12,3828,52.351,29.293,0.365,,,,,,,,,,0.24634
117,btr_gen19,1838970,1201491,0.0225,0.07,0.03,147942.2,2934,15,3817,50.423,26.944,0.36,,,,,,,,,,0.24643
118,det_gen19,3026853,1929171,0.025,0.0738,0.03,224726.5,5794,6,11871,48.344,19.903,0.22244,,,,,,,,,,0.0771
119,det_gen18,3065048.271,2036255.968,0.025,0.0738,0.03,246173.916,5629,,11931,46.774,20.143,0.23344,,,,,,,,,,0.0763
120,det_gen20,2904583,1748663,0.025,0.07,0.03,245732.1,5106,1813,11220,53.155,20.663,0.22797,,,,,,,,,,0.0782
121,pvd_gen18,1378187.364,367599.364,0.035,0.08,0.03,149921.633,2993,,3220,50.091,29.35,0.47786,,,,,,,,,,0.1311
122,pvd_gen20,1593646,380468.5,0.03,0.07,0.03,159505,3017,0,3255,51.309,29.344,0.48768,,,,,,,,,,0.1506
123,pvd_gen19,1593646,380468.5,0.03,0.08,0.03,154798.8,3017,0,3255,51.309,29.344,0.48768,,,,,,,,,,0.1506
124,htf_gen18,1476269,1079688.925,0.025,0.075,0.03,145103.092,2078,,3178,69.828,35.484,0.314,,,,,,,,,,0.14634
125,htf_gen20,1593662,1059232,0.024,0.0725,0.03,147405,2122,7059,3231,69.465,36.314,0.3684,,,,,,,,,,0.15089
126,htf_gen19,1503521,1068807,0.025,0.07375,0.03,147708.6,2110,6652,3193,70.004,36.418,0.3366,,,,,,,,,,0.14168
127,bhm_gen18,1470251.127,1066035.625,0.025,0.0557,0.03,208175.344,3893,,3202,53.474,26.328,0.1496,,,,,,,,,,0.0939
128,bhm_gen20,1539302,1057533,0.025,0.0412,0.03,202026.5,3624,712,3426,54.72,27.528,0.1649,,,,,,,,,,0.0814
129,bhm_gen19,1501381,1063878,0.025,0.0497,0.03,200234.2,3659,624,3355,54.059,27.048,0.1606,,,,,,,,,,0.0896
130,oma_ffp18,1406832.664,737383.005,0.025,0.075,0.03,143575.171,1454,,1584,94.271,49.496,0.53447,,,,,,,,,,0.22034
131,oma_ffp20,1451453,787558.8,0.025,0.075,0.03,147301.4,1480,149,1606,95.033,50.753,0.52955,,,,,,,,,,0.21915
132,oma_ffp19,1451453,787558.8,0.025,0.075,0.03,147301.4,1480,157,1606,95.033,50.753,0.52955,,,,,,,,,,0.21915
133,atl_pol18,1297470.523,1130389,,0.0741,0.03,90948,1746,,1546,51.837,40.967,0.2337,,,,,,,,,,0.21836
134,atl_pol20,1546121,1150481,0.0225,0.0741,0.03,102498.5,1678,35,1689,61.77,43.697,0.3931,,,,,,,,,,0.23522
135,atl_pol19,1498485,1163140,0.025,0.0741,0.03,94943.48,1751,884,1662,54.736,42.641,0.3616,,,,,,,,,,0.22473
136,kc_gen18,1351562.621,1140815.771,0.03,0.075,0.03,171688.301,3218,,2448,53.352,26.652,0.1568,0.711388823,,,,,,,,,0.1311
137,kc_gen20,1420249,1189659,0.03,0.075,0.03,170834.6,3146,0,2591,54.302,28.047,0.1795,0.711388823,,,,,,,,,0.1279
138,kc_gen19,1380803,1179563,0.03,0.075,0.03,171476.1,3163,0,2526,54.213,27.169,0.1594,0.711388823,,,,,,,,,0.129
139,tuc_gen18,1053987,803439,0.03,0.0725,0.03,118152,2455,,3031,48.127,24.192,0.2199,,,,,,,,,,0.1097
140,tuc_gen20,1148930,842425,0.025,0.07,0.03,127378,2482,5325,3145,51.321,24.523,0.2412,,,,,,,,,,0.1175
141,tuc_gen19,1129492,822835,0.025,0.07,0.03,123823,2508,5231,3101,49.371,24.36,0.2472,,,,,,,,,,0.1183
142,okc_gen18,696669,721090,0.0325,0.075,0.03,124681,2425,,1545,51.415,22.047,0.0556,,,,,,,,,,0.1272
143,okc_gen20,792457,761919,0.03,0.07,0.03,132753,2470,21584,1652,53.746,23.902,0.0746,,,,,,,,,,0.1181
144,okc_gen19,730242,727125,0.0325,0.071,0.03,130172,2457,21584,1595,52.98,22.864,0.0689,,,,,,,,,,0.1273
