plan,target,status,score,exact,close,wrong,missing,extra,totals,n_tables,n_attempts,crash,run_dir,ppd
dal_pf,Ret_Rate,unavailable,,,,,,,none,2,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_pf_Ret_Rate_20260729_162638,
dal_pf,Sep_Rate,scored,0.2455,27,0,83,0,0,none,1,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_pf_Sep_Rate_20260729_162714,
dal_pf,Avg_Mort,crash,,,,,,,,,8,"response still violates the contract after 8 attempts: | row_map references 7 source label(s) that do NOT exist in source_tables[0]: ['20', '25', '30', '35', '40', '45'] .... Code matches these EXACTLY against the table's own labels and silently yields an empty cell when there is no match, so the wh",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_pf_Avg_Mort_20260729_162746,
dal_pf,Retirement,unavailable,,,,,,,none,3,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dal_pf_Retirement_20260729_163939,
dc_pf,Age_Serv_Num,production,,,,,,,clean,3,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_pf_Age_Serv_Num_20260729_163957,off
dc_pf,Age_Serv_Wage,production,,,,,,,clean,6,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_pf_Age_Serv_Wage_20260729_164259,
dc_pf,Ret_Rate,production,,,,,,,none,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_pf_Ret_Rate_20260729_164452,
dc_pf,Sep_Rate,production,,,,,,,none,2,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_pf_Sep_Rate_20260729_164519,
dc_pf,Avg_Mort,crash,,,,,,,,,7,"response still violates the contract after 7 attempts: | output-limit truncation (64000 tok): content=238620 chars, 9 source_tables, ~0 cell-rows, late-window recurs 289x -> LIKELY LOOP. [full text -> /orcd/scratch/orcd/011/ncomati/dumps/truncated_0_238620.txt] HEAD: '{   ""source_tables"": [     {   ",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_pf_Avg_Mort_20260729_164623,
dc_pf,Retirement,production,,,,,,,clean,3,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_pf_Retirement_20260729_170600,
dc_teach,Age_Serv_Num,production,,,,,,,clean,3,7,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_teach_Age_Serv_Num_20260729_171405,off
dc_teach,Age_Serv_Wage,production,,,,,,,clean,6,2,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_teach_Age_Serv_Wage_20260729_171708,
dc_teach,Ret_Rate,production,,,,,,,none,3,1,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_teach_Ret_Rate_20260729_171901,
dc_teach,Sep_Rate,production,,,,,,,none,2,3,,/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_teach_Sep_Rate_20260729_171928,
dc_teach,Avg_Mort,crash,,,,,,,,,7,"response still violates the contract after 7 attempts: | output-limit truncation (64000 tok): content=238620 chars, 9 source_tables, ~0 cell-rows, late-window recurs 289x -> LIKELY LOOP. [full text -> /orcd/scratch/orcd/011/ncomati/dumps/truncated_0_238620.txt] HEAD: '{   ""source_tables"": [     {   ",/orcd/scratch/orcd/011/ncomati/state-and-local-pension/Data Extraction/runs/_batch_round3/dc_teach_Avg_Mort_20260729_172031,
