planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,30,34,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,30,34,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,30,34,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,30,34,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,30,34,58,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,30,34,290,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,30,34,251,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,30,34,104,
sf_gen19,sf,gen,19,3,sf_gen19_t3,20,24,35,40,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,25,29,35,40,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,30,34,35,40,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,35,39,35,40,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,40,44,35,40,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,45,49,35,40,,
sf_gen19,sf,gen,19,3,sf_gen19_t3,50,54,35,40,1,
sf_gen19,sf,gen,19,3,sf_gen19_t3,55,59,35,40,104,
sf_gen19,sf,gen,19,3,sf_gen19_t3,60,64,35,40,120,
sf_gen19,sf,gen,19,3,sf_gen19_t3,65,70,35,40,96,
