planid,cityabv,plantype,fy,tier,tierid,agemin,agemax,servmin,servmax,employee,inactive
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,5,9,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,5,9,,392.44
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,5,9,,2158.42
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,5,9,,4709.28
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,5,9,,6965.81
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,5,9,,8633.68
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,5,9,,9811
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,5,9,,9320.45
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,5,9,,3237.63
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,5,9,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,10,14,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,40,44,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,45,49,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,50,54,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,55,59,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,60,64,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,65,70,15,19,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,20,24,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,25,29,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,30,34,20,24,,
phx_gen19,phx,gen,19,3,phx_gen19_t3,35,39,20,24,,
